geoid,county_name,state_name,year,next_year,next_year_fmd,prediction,residual,abs_residual,failure_category
30085,Roosevelt,Montana,2022.0,2023,22.7,16.350800000000007,6.349199999999993,6.349199999999993,High-distress tail underprediction
30003,Big Horn,Montana,2022.0,2023,22.9,16.7428,6.1572,6.1572,High-distress tail underprediction
54051,Marshall,West Virginia,2022.0,2023,23.0,16.95640000000001,6.043599999999991,6.043599999999991,Appalachian high-FMD underprediction
46031,Corson,South Dakota,2022.0,2023,21.9,15.864399999999998,6.0356000000000005,6.0356000000000005,High-distress tail underprediction
54029,Hancock,West Virginia,2022.0,2023,22.7,16.797599999999992,5.902400000000007,5.902400000000007,Appalachian high-FMD underprediction
54069,Ohio,West Virginia,2022.0,2023,22.1,16.2184,5.881600000000002,5.881600000000002,Appalachian high-FMD underprediction
54103,Wetzel,West Virginia,2022.0,2023,23.9,18.073199999999993,5.826800000000006,5.826800000000006,Appalachian high-FMD underprediction
27087,Mahnomen,Minnesota,2022.0,2023,21.5,15.83880000000001,5.66119999999999,5.66119999999999,High-distress tail underprediction
54013,Calhoun,West Virginia,2022.0,2023,25.7,20.056400000000018,5.6435999999999815,5.6435999999999815,Appalachian high-FMD underprediction
30087,Rosebud,Montana,2022.0,2023,21.6,16.0116,5.5884,5.5884,High-distress tail underprediction
54067,Nicholas,West Virginia,2022.0,2023,23.5,17.923999999999985,5.576000000000015,5.576000000000015,Appalachian high-FMD underprediction
30079,Prairie,Montana,2022.0,2023,20.9,15.406000000000006,5.493999999999993,5.493999999999993,High-distress tail underprediction
